player,injury,start,end,season,missed,ir_sequence
/players/baker-mayfield-mayfiba01,Shoulder,2022-01-05,2022-02-24,2021,1,1
/players/baylon-spector-spectba01,Hamstring,2023-08-31,2023-10-15,2023,5,1
/players/beau-allen-allenbe01,Undisclosed,2020-09-07,2021-02-24,2020,NULL,1
/players/beau-sandland-sandlbe01,Knee,2017-08-14,2017-08-18,2017,NULL,1
/players/ben-bartch-bartcbe01,Knee,2022-10-11,2023-02-24,2022,14,1
/players/ben-bredeson-bredebe01,Knee,2021-01-09,2021-02-24,2020,2,1
/players/ben-bredeson-bredebe01,Knee,2022-10-29,2022-12-18,2022,6,2
/players/ben-burrkirven-burrkbe01,Knee,2021-08-23,2022-02-24,2021,17,1
/players/ben-cleveland-clevebe01,Knee,2021-10-12,2021-11-21,2021,4,1
/players/ben-gardner-gardnbe01,Shoulder,2014-08-26,2015-02-24,2014,NULL,1
/players/ben-gedeon-gedeobe01,Concussion,2019-12-02,2020-02-24,2019,7,1
/players/ben-heeney-heenebe01,Ankle,2018-08-30,2018-09-08,2018,NULL,3
/players/ben-heeney-heenebe01,Undisclosed,2016-10-04,2017-02-24,2016,13,1
/players/ben-heeney-heenebe01,Undisclosed,2017-11-29,2018-02-24,2017,5,2
/players/ben-koyack-koyacbe01,Undisclosed,2018-09-02,2018-09-08,2018,NULL,1
/players/benardrick-mckinney-mckinbe01,Shoulder,2020-10-13,2021-02-24,2020,11,1
/players/bene-benwikere-benwibe01,Leg,2015-12-15,2016-02-24,2015,6,1
/players/benjamin-stjuste-stjusbe01,Ankle,2023-01-06,2023-02-24,2022,1,2
/players/benjamin-stjuste-stjusbe01,Concussion,2021-12-02,2022-02-24,2021,6,1
/players/bennett-jackson-jacksbe03,Hamstring,2020-12-12,2021-02-24,2020,4,3
/players/bennett-jackson-jacksbe03,Knee,2015-09-01,2016-02-24,2015,16,1
/players/bennett-jackson-jacksbe03,Undisclosed,2018-08-31,2018-09-06,2018,NULL,2
/players/bennie-logan-loganbe01,Calf,2016-01-02,2016-02-24,2015,1,1
/players/billy-turner-turnebi02,Hand,2017-10-17,2018-02-24,2017,11,1
/players/billy-turner-turnebi02,Knee,2022-11-15,2022-12-18,2022,4,2
/players/bishop-sankey-sankebi01,Knee,2017-08-13,2018-02-24,2017,18,1
/players/bj-dubose-dubosbj01,Knee,2016-06-01,2017-02-24,2016,NULL,1
/players/bj-goodson-goodsbj01,Ankle,2017-12-27,2018-02-24,2017,1,1
/players/blake-bell-bellbl01,Hip,2022-09-05,2022-12-24,2022,14,3
/players/blake-bell-bellbl01,Shoulder,2016-12-19,2017-02-24,2016,2,1
/players/blake-bell-bellbl01,Shoulder,2017-12-15,2018-02-24,2017,5,2
/players/blake-brandel-brandbl01,Knee,2022-12-14,2023-01-15,2022,4,1
/players/blake-cashman-cashmbl01,Groin,2020-09-15,2020-10-18,2020,4,2
/players/blake-cashman-cashmbl01,Groin,2021-10-26,2022-02-24,2021,NULL,5
/players/blake-cashman-cashmbl01,Hamstring,2020-12-03,2021-02-24,2020,NULL,3
/players/blake-cashman-cashmbl01,Hamstring,2021-09-15,2021-10-10,2021,3,4
/players/blake-cashman-cashmbl01,Shoulder,2019-11-01,2020-02-24,2019,9,1
/players/blake-countess-countbl01,,2023-04-19,2024-02-24,2023,NULL,2
/players/blake-countess-countbl01,Undisclosed,2021-08-31,2021-09-09,2021,NULL,1
/players/blake-martinez-martibl02,Knee,2021-09-29,2022-02-24,2021,14,1
/players/blessuan-austin-austibl01,Neck,2020-11-21,2020-12-13,2020,3,1
/players/blidi-wrehwilson-wrehwbl01,Shoulder,2014-12-09,2015-02-24,2014,3,1
/players/bo-scarbrough-scarbbo01,,2023-04-20,2024-02-24,2023,NULL,2
/players/bo-scarbrough-scarbbo01,Undisclosed,2020-09-07,2020-10-31,2020,5,1
/players/bobby-brown-brownbo08,Knee,2023-10-10,2023-11-19,2023,4,1
/players/bobby-hart-hartbo01,Undisclosed,2018-02-05,2018-02-09,2017,NULL,1
/players/bobby-mccain-mccaibo02,Shoulder,2019-11-20,2020-02-24,2019,6,1
/players/brad-kaaya-kaayabr01,Back,2018-08-25,2019-02-08,2018,18,1
/players/brad-seaton-seatobr01,Undisclosed,2021-09-01,2021-10-21,2021,6,1
/players/braden-mann-mannbr01,Knee,2021-09-15,2021-11-14,2021,7,1
/players/bradlee-anae-anaebr02,Undisclosed,2023-05-25,2024-02-24,2023,NULL,1
/players/bradley-chubb-chubbbr02,Ankle,2021-09-22,2021-11-28,2021,8,2
/players/bradley-chubb-chubbbr02,Knee,2019-10-01,2020-02-24,2019,12,1
/players/bradley-chubb-chubbbr02,Knee,2024-01-06,2024-02-24,2023,2,3
/players/bradley-roby-robybr01,Ankle,2022-10-25,2022-11-27,2022,4,1
/players/brady-breeze-breezbr01,Ankle,2021-09-03,2021-10-24,2021,1,1
/players/brady-breeze-breezbr01,Undisclosed,2022-08-17,2022-08-24,2022,NULL,2
/players/brady-christensen-chrisbr03,Biceps,2023-09-13,2024-02-24,2023,16,1
/players/braeden-daniels-daniebr02,Undisclosed,2023-08-28,2024-02-24,2023,17,1
/players/brandin-cooks-cooksbr01,Thumb,2014-11-18,2015-02-24,2014,6,1
/players/brandin-echols-echolbr01,Quadriceps,2021-11-16,2021-12-12,2021,3,1
/players/brandin-echols-echolbr01,Quadriceps,2023-01-07,2023-02-24,2022,1,2
/players/brandon-allen-allenbr04,Back,2017-12-20,2018-02-24,2017,3,1
/players/brandon-hepburn-hepbubr01,Abdomen,2015-08-17,2015-08-21,2015,NULL,1
/players/brandon-jones-jonesbr19,Knee,2022-10-25,2023-02-24,2022,11,1
/players/brandon-linder-lindebr01,Ankle,2020-12-16,2021-02-24,2020,3,3
/players/brandon-linder-lindebr01,Knee,2018-11-13,2019-02-24,2018,7,2
/players/brandon-linder-lindebr01,Knee,2021-10-12,2021-11-28,2021,5,4
/players/brandon-linder-lindebr01,Shoulder,2015-10-05,2016-02-24,2015,12,1
/players/brandon-mcgee-mcgeebr01,Foot,2014-10-25,2015-02-24,2014,10,1
/players/brandon-mcgee-mcgeebr01,Undisclosed,2016-06-13,2016-07-12,2016,NULL,2
/players/brandon-parker-parkebr02,Triceps,2022-08-28,2023-02-24,2022,17,1
/players/brandon-parker-parkebr02,Undisclosed,2023-08-15,2023-08-24,2023,NULL,2
/players/brandon-scherff-scherbr01,Elbow,2019-12-17,2020-02-24,2019,2,2
/players/brandon-scherff-scherbr01,Knee,2020-09-22,2020-10-18,2020,3,3
/players/brandon-scherff-scherbr01,Pectoral,2018-11-05,2019-02-24,2018,8,1
/players/brandon-shell-shellbr01,Knee,2018-12-19,2019-02-24,2018,2,1
/players/brandon-shell-shellbr01,Shoulder,2022-01-08,2022-02-24,2021,1,2
/players/brandon-smith-smithbr23,Ankle,2022-12-17,2023-02-24,2022,4,1
/players/brandon-thomas-thomabr05,Knee,2018-08-01,2018-08-03,2018,NULL,1
/players/brandon-thomas-thomabr05,Knee,2019-12-10,2020-02-24,2019,3,2
/players/brandon-watts-wattsbr01,Back,2017-09-03,2017-09-06,2017,NULL,1
/players/brandon-williams-willibr20,Groin,2020-09-30,2020-11-15,2020,5,2
/players/brandon-williams-willibr20,Shoulder,2019-09-01,2020-02-24,2019,16,1
/players/brandon-wilson-wilsobr04,Hand,2019-12-06,2020-02-24,2019,4,1
/players/brandon-wilson-wilsobr04,Knee,2021-11-09,2022-02-24,2021,12,2
/players/bravvion-roy-roybr03,Hamstring,2022-09-20,2022-10-23,2022,4,1
/players/braxton-berrios-berribr01,Quadriceps,2022-01-07,2022-02-24,2021,1,2
/players/braxton-berrios-berribr01,Undisclosed,2018-09-01,2019-02-24,2018,19,1
/players/braxton-jones-jonesbr22,Neck,2023-09-20,2023-11-05,2023,6,1
/players/braxton-miller-millebr09,Shoulder,2016-12-13,2017-02-24,2016,5,1
