,page,transdate,team,transaction
1636,/players/aj-klein-kleinaj01,2023-08-29,Buffalo (NFL),Released
1635,/players/aj-klein-kleinaj01,2023-09-21,Buffalo (NFL),Signed to the Practice Squad
1634,/players/aj-klein-kleinaj01,2023-10-11,Buffalo (NFL),Signed to the Active Roster from the Practice Squad
1633,/players/aj-klein-kleinaj01,2023-12-09,Buffalo (NFL),Waived
1632,/players/aj-klein-kleinaj01,2024-01-11,Buffalo (NFL),Signed to the Practice Squad
1631,/players/aj-klein-kleinaj01,2024-01-14,Buffalo (NFL),Signed to the Active Roster from the Practice Squad
1630,/players/aj-klein-kleinaj01,2024-01-16,Buffalo (NFL),Returned to the Practice Squad
1629,/players/aj-klein-kleinaj01,2024-01-20,Buffalo (NFL),Signed to the Active Roster from the Practice Squad
1628,/players/aj-klein-kleinaj01,2024-01-22,Buffalo (NFL),Returned to the Practice Squad
4993,/players/aj-mccarron-mccaraj01,2014-05-22,Cincinnati (NFL),Signed
4992,/players/aj-mccarron-mccaraj01,2014-08-30,Cincinnati (NFL),Placed on the Non-Football Injury List (Shoulder)
4991,/players/aj-mccarron-mccaraj01,2014-12-09,Cincinnati (NFL),Activated from the Reserve/Non-Football Injury List
4990,/players/aj-mccarron-mccaraj01,2018-03-15,Buffalo (NFL),Signed
4989,/players/aj-mccarron-mccaraj01,2018-09-01,Buffalo (NFL),Traded to the Oakland Raiders
4988,/players/aj-mccarron-mccaraj01,2019-03-14,Oakland (NFL),Released
4987,/players/aj-mccarron-mccaraj01,2019-03-20,Houston (NFL),Signed
4986,/players/aj-mccarron-mccaraj01,2020-03-30,Houston (NFL),Re-signed
4985,/players/aj-mccarron-mccaraj01,2021-05-03,Atlanta (NFL),Signed
4984,/players/aj-mccarron-mccaraj01,2021-08-24,Atlanta (NFL),Placed on Injured Reserve (Knee)
4983,/players/aj-mccarron-mccaraj01,2022-11-15,St. Louis (XFL),Signed
4981,/players/aj-mccarron-mccaraj01,2023-09-23,Cincinnati (NFL),Signed to the Practice Squad
4982,/players/aj-mccarron-mccaraj01,2023-09-23,St. Louis (XFL),Released
4980,/players/aj-mccarron-mccaraj01,2023-11-25,Cincinnati (NFL),Signed to the Active Roster from the Practice Squad
4979,/players/aj-mccarron-mccaraj01,2023-11-27,Cincinnati (NFL),Returned to the Practice Squad
4978,/players/aj-mccarron-mccaraj01,2023-12-04,Cincinnati (NFL),Signed to the Active Roster from the Practice Squad
4977,/players/aj-mccarron-mccaraj01,2024-02-14,Cincinnati (NFL),Released
4976,/players/aj-mccarron-mccaraj01,2024-02-16,St. Louis (UFL),Signed
22583,/players/aj-terrell-terreaj01,2020-07-21,Atlanta (NFL),Signed
22582,/players/aj-terrell-terreaj01,2020-09-26,Atlanta (NFL),Placed on COVID-19 List
22581,/players/aj-terrell-terreaj01,2020-10-08,Atlanta (NFL),Activated from the Reserve/COVID-19 List
26877,/players/akayleb-evans-evansak01,2022-06-22,Minnesota (NFL),Signed
26876,/players/akayleb-evans-evansak01,2022-12-07,Minnesota (NFL),Placed on Injured Reserve (Concussion)
23314,/players/akeem-davis-davisak02,2020-07-21,Cincinnati (NFL),Signed
23313,/players/akeem-davis-davisak02,2021-11-09,Cincinnati (NFL),Placed on Injured Reserve (Foot)
23312,/players/akeem-davis-davisak02,2022-01-04,Cincinnati (NFL),Placed on COVID-19 List
23311,/players/akeem-davis-davisak02,2022-01-20,Cincinnati (NFL),Activated from the Reserve/COVID-19 List
9491,/players/akeem-king-kingak01,2015-05-09,Atlanta (NFL),Signed
9490,/players/akeem-king-kingak01,2015-09-05,Atlanta (NFL),Waived
9489,/players/akeem-king-kingak01,2015-09-07,Atlanta (NFL),Signed to the Practice Squad
9488,/players/akeem-king-kingak01,2015-11-06,Atlanta (NFL),Signed to the Active Roster from the Practice Squad
9487,/players/akeem-king-kingak01,2016-09-03,Atlanta (NFL),Placed on Injured Reserve (Foot)
9486,/players/akeem-king-kingak01,2017-03-09,Atlanta (NFL),Re-signed
9485,/players/akeem-king-kingak01,2017-09-01,Atlanta (NFL),Waived
9484,/players/akeem-king-kingak01,2017-09-13,Seattle (NFL),Signed to the Practice Squad
9483,/players/akeem-king-kingak01,2017-11-14,Seattle (NFL),Placed on the Practice Squad/Injured List
9482,/players/akeem-king-kingak01,2018-03-16,Seattle (NFL),Signed
9481,/players/akeem-king-kingak01,2018-09-01,Seattle (NFL),Waived
9480,/players/akeem-king-kingak01,2018-09-02,Seattle (NFL),Signed to the Practice Squad
9479,/players/akeem-king-kingak01,2018-09-08,Seattle (NFL),Signed to the Active Roster from the Practice Squad
9478,/players/akeem-king-kingak01,2020-08-02,Buffalo (NFL),Signed
9477,/players/akeem-king-kingak01,2020-08-09,Buffalo (NFL),Released
9476,/players/akeem-king-kingak01,2020-12-02,Miami (NFL),Signed to the Practice Squad
1157,/players/akeem-spence-spencak01,2013-05-15,Tampa Bay (NFL),Signed
1156,/players/akeem-spence-spencak01,2015-09-01,Tampa Bay (NFL),Placed on the Physically Unable to Perform List (Back)
1155,/players/akeem-spence-spencak01,2015-09-05,Tampa Bay (NFL),Placed on the Reserve/Suspended List
1154,/players/akeem-spence-spencak01,2015-10-24,Tampa Bay (NFL),Activated from the Physically Unable to Perform List
1153,/players/akeem-spence-spencak01,2015-12-26,Tampa Bay (NFL),Placed on Injured Reserve (Ankle)
1152,/players/akeem-spence-spencak01,2017-03-10,Detroit (NFL),Signed
1151,/players/akeem-spence-spencak01,2018-05-03,Detroit (NFL),Traded to the Miami Dolphins
1150,/players/akeem-spence-spencak01,2019-08-27,Miami (NFL),Released
1149,/players/akeem-spence-spencak01,2019-09-11,Philadelphia (NFL),Signed
1148,/players/akeem-spence-spencak01,2019-10-22,Philadelphia (NFL),Released
1147,/players/akeem-spence-spencak01,2019-10-25,Jacksonville (NFL),Signed
1146,/players/akeem-spence-spencak01,2020-11-21,New England (NFL),Signed to the Practice Squad
1145,/players/akeem-spence-spencak01,2020-11-28,New England (NFL),Signed to the Active Roster from the Practice Squad
1144,/players/akeem-spence-spencak01,2020-11-30,New England (NFL),Returned to the Practice Squad
1143,/players/akeem-spence-spencak01,2020-12-05,New England (NFL),Signed to the Active Roster from the Practice Squad
1142,/players/akeem-spence-spencak01,2021-08-31,New England (NFL),Released
1141,/players/akeem-spence-spencak01,2021-12-16,Washington (NFL),Signed
1140,/players/akeem-spence-spencak01,2021-12-24,Washington (NFL),Waived
1139,/players/akeem-spence-spencak01,2021-12-29,Denver (NFL),Signed to the Practice Squad
1138,/players/akeem-spence-spencak01,2022-08-01,San Francisco (NFL),Signed
1137,/players/akeem-spence-spencak01,2022-08-30,San Francisco (NFL),Released
1136,/players/akeem-spence-spencak01,2022-08-31,San Francisco (NFL),Signed to the Practice Squad
1135,/players/akeem-spence-spencak01,2022-09-24,San Francisco (NFL),Signed to the Active Roster from the Practice Squad
1134,/players/akeem-spence-spencak01,2022-09-26,San Francisco (NFL),Returned to the Practice Squad
1133,/players/akeem-spence-spencak01,2022-10-08,San Francisco (NFL),Signed to the Active Roster from the Practice Squad
1132,/players/akeem-spence-spencak01,2022-11-01,San Francisco (NFL),Released
1131,/players/akeem-spence-spencak01,2022-11-02,San Francisco (NFL),Signed to the Practice Squad
1130,/players/akeem-spence-spencak01,2022-12-15,San Francisco (NFL),Signed to the Active Roster from the Practice Squad
1129,/players/akeem-spence-spencak01,2023-01-03,San Francisco (NFL),Waived
1128,/players/akeem-spence-spencak01,2023-01-06,San Francisco (NFL),Signed to the Practice Squad
2171,/players/alan-bonner-bonneal01,2013-05-10,Houston (NFL),Signed
2170,/players/alan-bonner-bonneal01,2013-08-31,Houston (NFL),Placed on Injured Reserve (Hamstring)
2169,/players/alan-bonner-bonneal01,2014-07-27,Houston (NFL),Waived (injured)
2168,/players/alan-bonner-bonneal01,2014-07-28,Houston (NFL),Placed on Injured Reserve (Foot)
2167,/players/alan-bonner-bonneal01,2015-09-01,Houston (NFL),Waived
2166,/players/alan-bonner-bonneal01,2015-09-07,Houston (NFL),Signed to the Practice Squad
2165,/players/alan-bonner-bonneal01,2015-10-15,Houston (NFL),Released from the Practice Squad
23390,/players/albert-okwuegbunam-okwueal01,2020-07-28,Denver (NFL),Signed
23389,/players/albert-okwuegbunam-okwueal01,2020-11-10,Denver (NFL),Placed on Injured Reserve (Knee)
23388,/players/albert-okwuegbunam-okwueal01,2021-10-09,Denver (NFL),Placed on Injured Reserve (Hamstring)
23387,/players/albert-okwuegbunam-okwueal01,2021-10-26,Denver (NFL),Designated for return from Injured Reserve
23386,/players/albert-okwuegbunam-okwueal01,2021-10-30,Denver (NFL),Activated from Injured Reserve
23385,/players/albert-okwuegbunam-okwueal01,2023-08-29,Denver (NFL),Traded to the Philadelphia Eagles
23384,/players/albert-okwuegbunam-okwueal01,2023-12-30,Philadelphia (NFL),Placed on Injured Reserve (Hamstring)
309,/players/alec-ogletree-ogletal01,2013-06-13,St. Louis (NFL),Signed
308,/players/alec-ogletree-ogletal01,2015-10-27,St. Louis (NFL),Placed on Injured Reserve (Designated for Return) (Leg)
307,/players/alec-ogletree-ogletal01,2018-03-14,LA Rams (NFL),Traded to the New York Giants
306,/players/alec-ogletree-ogletal01,2020-02-26,NY Giants (NFL),Released
305,/players/alec-ogletree-ogletal01,2020-09-10,NY Jets (NFL),Signed to the Practice Squad
304,/players/alec-ogletree-ogletal01,2020-09-19,NY Jets (NFL),Signed to the Active Roster from the Practice Squad
303,/players/alec-ogletree-ogletal01,2020-10-10,NY Jets (NFL),Released
302,/players/alec-ogletree-ogletal01,2021-08-04,Chicago (NFL),Signed
26724,/players/alec-pierce-piercal01,2022-05-17,Indianapolis (NFL),Signed
13845,/players/alex-anzalone-anzalal01,2017-06-02,New Orleans (NFL),Signed
13844,/players/alex-anzalone-anzalal01,2017-10-04,New Orleans (NFL),Placed on Injured Reserve (Shoulder)
13843,/players/alex-anzalone-anzalal01,2019-09-16,New Orleans (NFL),Placed on Injured Reserve (Undisclosed)
13842,/players/alex-anzalone-anzalal01,2021-03-24,Detroit (NFL),Signed
13841,/players/alex-anzalone-anzalal01,2021-12-20,Detroit (NFL),Placed on Injured Reserve (Shoulder)
13840,/players/alex-anzalone-anzalal01,2023-03-15,Detroit (NFL),Re-signed
15535,/players/alex-armah-armahal01,2017-05-05,Carolina (NFL),Signed
15534,/players/alex-armah-armahal01,2017-09-03,Carolina (NFL),Waived
15533,/players/alex-armah-armahal01,2017-09-05,Carolina (NFL),Signed to the Practice Squad
15532,/players/alex-armah-armahal01,2017-09-19,Carolina (NFL),Signed to the Active Roster from the Practice Squad
15531,/players/alex-armah-armahal01,2021-03-19,New Orleans (NFL),Signed
15530,/players/alex-armah-armahal01,2021-08-31,New Orleans (NFL),Released
15529,/players/alex-armah-armahal01,2021-09-01,New Orleans (NFL),Signed to the Practice Squad
15528,/players/alex-armah-armahal01,2021-09-17,New Orleans (NFL),Signed to the Active Roster from the Practice Squad
15527,/players/alex-armah-armahal01,2021-11-30,New Orleans (NFL),Waived
15526,/players/alex-armah-armahal01,2021-12-02,Washington (NFL),Signed to the Practice Squad
15525,/players/alex-armah-armahal01,2021-12-21,Washington (NFL),Signed to the Active Roster from the Practice Squad
15524,/players/alex-armah-armahal01,2021-12-22,Washington (NFL),Returned to the Practice Squad
15523,/players/alex-armah-armahal01,2022-01-08,Washington (NFL),Signed to the Active Roster from the Practice Squad
15522,/players/alex-armah-armahal01,2022-01-10,Washington (NFL),Returned to the Practice Squad
15521,/players/alex-armah-armahal01,2022-01-11,Washington (NFL),Signed to a future contract
15520,/players/alex-armah-armahal01,2022-08-16,Washington (NFL),Placed on Injured Reserve (Undisclosed)
15519,/players/alex-armah-armahal01,2022-08-22,Washington (NFL),Released from Injured Reserve
15518,/players/alex-armah-armahal01,2022-10-19,Washington (NFL),Signed to the Practice Squad
15517,/players/alex-armah-armahal01,2022-10-22,Washington (NFL),Signed to the Active Roster from the Practice Squad
15516,/players/alex-armah-armahal01,2022-10-24,Washington (NFL),Returned to the Practice Squad
15515,/players/alex-armah-armahal01,2022-10-29,Washington (NFL),Signed to the Active Roster from the Practice Squad
15514,/players/alex-armah-armahal01,2022-10-31,Washington (NFL),Returned to the Practice Squad
15513,/players/alex-armah-armahal01,2022-11-05,Washington (NFL),Signed to the Active Roster from the Practice Squad
15512,/players/alex-armah-armahal01,2022-11-07,Washington (NFL),Returned to the Practice Squad
15511,/players/alex-armah-armahal01,2023-01-10,Washington (NFL),Signed to a future contract
15510,/players/alex-armah-armahal01,2023-08-29,Washington (NFL),Released
15509,/players/alex-armah-armahal01,2023-08-30,Washington (NFL),Signed to the Practice Squad
15508,/players/alex-armah-armahal01,2023-09-23,Washington (NFL),Signed to the Active Roster from the Practice Squad
15507,/players/alex-armah-armahal01,2023-09-25,Washington (NFL),Returned to the Practice Squad
15506,/players/alex-armah-armahal01,2023-10-28,Washington (NFL),Signed to the Active Roster from the Practice Squad
27921,/players/alex-austin-austial01,2023-05-12,Buffalo (NFL),Signed
27920,/players/alex-austin-austial01,2023-08-29,Buffalo (NFL),Waived
27919,/players/alex-austin-austial01,2023-08-30,Houston (NFL),Acquired via waivers (from the Buffalo Bills)
27918,/players/alex-austin-austial01,2023-10-14,Houston (NFL),Waived
27917,/players/alex-austin-austial01,2023-10-18,Houston (NFL),Signed to the Practice Squad
27916,/players/alex-austin-austial01,2023-11-01,Houston (NFL),Released from the Practice Squad
27915,/players/alex-austin-austial01,2023-11-02,New England (NFL),Signed
17351,/players/alex-cappa-cappaal01,2018-05-12,Tampa Bay (NFL),Signed
17350,/players/alex-cappa-cappaal01,2021-01-15,Tampa Bay (NFL),Placed on Injured Reserve (Ankle)
17349,/players/alex-cappa-cappaal01,2022-03-18,Cincinnati (NFL),Signed
7182,/players/alex-carter-carteal03,2015-05-07,Detroit (NFL),Signed
7181,/players/alex-carter-carteal03,2015-09-06,Detroit (NFL),Placed on Injured Reserve (Designated for Return) (Ankle)
7180,/players/alex-carter-carteal03,2016-09-03,Detroit (NFL),Waived
7179,/players/alex-carter-carteal03,2016-09-04,Detroit (NFL),Signed to the Practice Squad
7178,/players/alex-carter-carteal03,2016-12-24,Detroit (NFL),Signed to the Active Roster from the Practice Squad
7177,/players/alex-carter-carteal03,2017-09-02,Detroit (NFL),Waived
7176,/players/alex-carter-carteal03,2017-10-09,New England (NFL),Signed to the Practice Squad
7175,/players/alex-carter-carteal03,2017-10-12,New England (NFL),Released from the Practice Squad
7174,/players/alex-carter-carteal03,2017-11-14,Seattle (NFL),Signed to the Practice Squad
7173,/players/alex-carter-carteal03,2017-11-21,Seattle (NFL),Released from the Practice Squad
7172,/players/alex-carter-carteal03,2017-11-27,Chicago (NFL),Signed to the Practice Squad
7171,/players/alex-carter-carteal03,2017-12-12,Chicago (NFL),Released from the Practice Squad
7170,/players/alex-carter-carteal03,2017-12-19,Seattle (NFL),Signed to the Practice Squad
7169,/players/alex-carter-carteal03,2018-01-02,Seattle (NFL),Signed to a future contract
7168,/players/alex-carter-carteal03,2018-08-02,Seattle (NFL),Waived
7167,/players/alex-carter-carteal03,2018-08-12,Carolina (NFL),Signed
7166,/players/alex-carter-carteal03,2018-08-31,Carolina (NFL),Waived
7165,/players/alex-carter-carteal03,2018-12-18,Washington (NFL),Signed to the Practice Squad
7164,/players/alex-carter-carteal03,2018-12-27,Washington (NFL),Signed to the Active Roster from the Practice Squad
7163,/players/alex-carter-carteal03,2019-04-30,Washington (NFL),Waived
11847,/players/alex-collins-collial01,2016-05-06,Seattle (NFL),Signed
11846,/players/alex-collins-collial01,2017-09-02,Seattle (NFL),Waived
11845,/players/alex-collins-collial01,2017-09-05,Baltimore (NFL),Signed to the Practice Squad
11844,/players/alex-collins-collial01,2017-09-16,Baltimore (NFL),Signed to the Active Roster from the Practice Squad
11843,/players/alex-collins-collial01,2018-04-16,Baltimore (NFL),Re-signed
11842,/players/alex-collins-collial01,2018-12-01,Baltimore (NFL),Placed on Injured Reserve (Foot)
11841,/players/alex-collins-collial01,2019-03-01,Baltimore (NFL),Waived
11840,/players/alex-collins-collial01,2020-11-04,Seattle (NFL),Signed to the Practice Squad
11839,/players/alex-collins-collial01,2020-11-07,Seattle (NFL),Signed to the Active Roster from the Practice Squad
11838,/players/alex-collins-collial01,2020-11-09,Seattle (NFL),Returned to the Practice Squad
11837,/players/alex-collins-collial01,2020-11-14,Seattle (NFL),Signed to the Active Roster from the Practice Squad
11836,/players/alex-collins-collial01,2020-11-16,Seattle (NFL),Returned to the Practice Squad
11835,/players/alex-collins-collial01,2021-01-02,Seattle (NFL),Signed to the Active Roster from the Practice Squad
11834,/players/alex-collins-collial01,2021-01-04,Seattle (NFL),Returned to the Practice Squad
11833,/players/alex-collins-collial01,2021-01-08,Seattle (NFL),Signed to the Active Roster from the Practice Squad
11832,/players/alex-collins-collial01,2021-01-11,Seattle (NFL),Returned to the Practice Squad
11831,/players/alex-collins-collial01,2021-02-24,Seattle (NFL),Signed
11830,/players/alex-collins-collial01,2021-12-16,Seattle (NFL),Placed on COVID-19 List
11829,/players/alex-collins-collial01,2021-12-22,Seattle (NFL),Activated from the Reserve/COVID-19 List
11828,/players/alex-collins-collial01,2022-01-04,Seattle (NFL),Placed on Injured Reserve (Abdomen)
11827,/players/alex-collins-collial01,2023-01-14,Memphis (USFL2),Signed
11826,/players/alex-collins-collial01,2023-05-04,Memphis (USFL2),Placed on Injured Reserve
27931,/players/alex-forsyth-forsyal01,2023-05-12,Denver (NFL),Signed
23257,/players/alex-highsmith-highsal05,2020-07-24,Pittsburgh (NFL),Signed
24990,/players/alex-leatherwood-leathal01,2021-05-25,Las Vegas (NFL),Signed
24989,/players/alex-leatherwood-leathal01,2022-08-30,Las Vegas (NFL),Waived
24988,/players/alex-leatherwood-leathal01,2022-08-31,Chicago (NFL),Acquired via waivers (from the Las Vegas Raiders)
24987,/players/alex-leatherwood-leathal01,2022-09-14,Chicago (NFL),Placed on the Non-Football Illness List
24986,/players/alex-leatherwood-leathal01,2022-10-12,Chicago (NFL),Designated for return from Injured Reserve
24985,/players/alex-leatherwood-leathal01,2022-10-28,Chicago (NFL),Activated from the Reserve/Non-Football Illness List
24984,/players/alex-leatherwood-leathal01,2023-08-28,Chicago (NFL),Waived
24983,/players/alex-leatherwood-leathal01,2023-08-31,Cleveland (NFL),Signed to the Practice Squad
11270,/players/alex-lewis-lewisal04,2016-05-06,Baltimore (NFL),Signed
11269,/players/alex-lewis-lewisal04,2017-09-01,Baltimore (NFL),Placed on Injured Reserve (Shoulder)
11268,/players/alex-lewis-lewisal04,2019-08-06,Baltimore (NFL),Traded to the New York Jets
11267,/players/alex-lewis-lewisal04,2019-12-28,NY Jets (NFL),Placed on Injured Reserve (Ankle)
11266,/players/alex-lewis-lewisal04,2020-03-21,NY Jets (NFL),Re-signed
11265,/players/alex-lewis-lewisal04,2020-12-04,NY Jets (NFL),Placed on the Non-Football Illness List
