year,round,pick,team,player,page,position,season,transdate,transaction,trans_year,trans_month,tran_month,season_num
2013,1,15,New Orleans Saints,Kenny Vaccaro,/players/kenny-vaccaro-vaccake01,DB,2016,,,,,9.0,4
2013,1,15,New Orleans Saints,Kenny Vaccaro,/players/kenny-vaccaro-vaccake01,DB,2017,,,,,9.0,5
2013,1,15,New Orleans Saints,Kenny Vaccaro,/players/kenny-vaccaro-vaccake01,DB,2018,,,,,9.0,6
2013,1,15,New Orleans Saints,Kenny Vaccaro,/players/kenny-vaccaro-vaccake01,DB,2019,,,,,9.0,7
2013,1,15,New Orleans Saints,Kenny Vaccaro,/players/kenny-vaccaro-vaccake01,DB,2020,,,,,9.0,8
2013,1,16,Buffalo Bills,E.J. Manuel,/players/ej-manuel-manueej01,QB,2013,,,,,9.0,1
2013,1,16,Buffalo Bills,E.J. Manuel,/players/ej-manuel-manueej01,QB,2014,,,,,9.0,2
2013,1,16,Buffalo Bills,E.J. Manuel,/players/ej-manuel-manueej01,QB,2015,,,,,9.0,3
2013,1,16,Buffalo Bills,E.J. Manuel,/players/ej-manuel-manueej01,QB,2016,,,,,9.0,4
2013,1,16,Buffalo Bills,E.J. Manuel,/players/ej-manuel-manueej01,QB,2017,,,,,9.0,5
2013,1,16,Buffalo Bills,E.J. Manuel,/players/ej-manuel-manueej01,QB,2018,,,,,9.0,6
2013,1,17,Pittsburgh Steelers,Jarvis Jones,/players/jarvis-jones-jonesja11,LB,2013,,,,,9.0,1
2013,1,17,Pittsburgh Steelers,Jarvis Jones,/players/jarvis-jones-jonesja11,LB,2014,,,,,9.0,2
2013,1,17,Pittsburgh Steelers,Jarvis Jones,/players/jarvis-jones-jonesja11,LB,2015,,,,,9.0,3
2013,1,17,Pittsburgh Steelers,Jarvis Jones,/players/jarvis-jones-jonesja11,LB,2016,,,,,9.0,4
2013,1,17,Pittsburgh Steelers,Jarvis Jones,/players/jarvis-jones-jonesja11,LB,2017,,,,,9.0,5
2013,1,18,San Francisco 49ers,Eric Reid,/players/eric-reid-reider01,DB,2013,,,,,9.0,1
2013,1,18,San Francisco 49ers,Eric Reid,/players/eric-reid-reider01,DB,2014,,,,,9.0,2
2013,1,18,San Francisco 49ers,Eric Reid,/players/eric-reid-reider01,DB,2015,,,,,9.0,3
2013,1,18,San Francisco 49ers,Eric Reid,/players/eric-reid-reider01,DB,2016,,,,,9.0,4
2013,1,18,San Francisco 49ers,Eric Reid,/players/eric-reid-reider01,DB,2017,,,,,9.0,5
2013,1,18,San Francisco 49ers,Eric Reid,/players/eric-reid-reider01,DB,2018,,,,,9.0,6
2013,1,18,San Francisco 49ers,Eric Reid,/players/eric-reid-reider01,DB,2019,,,,,9.0,7
2013,1,19,New York Giants,Justin Pugh,/players/justin-pugh-pughju01,OG,2013,,,,,9.0,1
2013,1,19,New York Giants,Justin Pugh,/players/justin-pugh-pughju01,OG,2014,,,,,9.0,2
2013,1,19,New York Giants,Justin Pugh,/players/justin-pugh-pughju01,OG,2015,,,,,9.0,3
2013,1,19,New York Giants,Justin Pugh,/players/justin-pugh-pughju01,OG,2016,,,,,9.0,4
2013,1,19,New York Giants,Justin Pugh,/players/justin-pugh-pughju01,OG,2017,,,,,9.0,5
2013,1,19,New York Giants,Justin Pugh,/players/justin-pugh-pughju01,OG,2018,,,,,9.0,6
2013,1,19,New York Giants,Justin Pugh,/players/justin-pugh-pughju01,OG,2019,,,,,9.0,7
2013,1,19,New York Giants,Justin Pugh,/players/justin-pugh-pughju01,OG,2020,,,,,9.0,8
2013,1,19,New York Giants,Justin Pugh,/players/justin-pugh-pughju01,OG,2021,,,,,9.0,9
2013,1,19,New York Giants,Justin Pugh,/players/justin-pugh-pughju01,OG,2022,,,,,9.0,10
2013,1,19,New York Giants,Justin Pugh,/players/justin-pugh-pughju01,OG,2023,,,,,9.0,11
2013,1,20,Chicago Bears,Kyle Long,/players/kyle-long-longky01,OG,2013,,,,,9.0,1
2013,1,20,Chicago Bears,Kyle Long,/players/kyle-long-longky01,OG,2014,,,,,9.0,2
2013,1,20,Chicago Bears,Kyle Long,/players/kyle-long-longky01,OG,2015,,,,,9.0,3
2013,1,20,Chicago Bears,Kyle Long,/players/kyle-long-longky01,OG,2016,,,,,9.0,4
2013,1,20,Chicago Bears,Kyle Long,/players/kyle-long-longky01,OG,2017,,,,,9.0,5
2013,1,20,Chicago Bears,Kyle Long,/players/kyle-long-longky01,OG,2018,,,,,9.0,6
2013,1,20,Chicago Bears,Kyle Long,/players/kyle-long-longky01,OG,2019,,,,,9.0,7
2013,1,20,Chicago Bears,Kyle Long,/players/kyle-long-longky01,OG,2021,,,,,9.0,9
2013,1,21,Cincinnati Bengals,Tyler Eifert,/players/tyler-eifert-eiferty01,TE,2013,,,,,9.0,1
2013,1,21,Cincinnati Bengals,Tyler Eifert,/players/tyler-eifert-eiferty01,TE,2014,,,,,9.0,2
2013,1,21,Cincinnati Bengals,Tyler Eifert,/players/tyler-eifert-eiferty01,TE,2015,,,,,9.0,3
2013,1,21,Cincinnati Bengals,Tyler Eifert,/players/tyler-eifert-eiferty01,TE,2016,,,,,9.0,4
2013,1,21,Cincinnati Bengals,Tyler Eifert,/players/tyler-eifert-eiferty01,TE,2017,,,,,9.0,5
2013,1,21,Cincinnati Bengals,Tyler Eifert,/players/tyler-eifert-eiferty01,TE,2018,,,,,9.0,6
2013,1,21,Cincinnati Bengals,Tyler Eifert,/players/tyler-eifert-eiferty01,TE,2019,,,,,9.0,7
2013,1,21,Cincinnati Bengals,Tyler Eifert,/players/tyler-eifert-eiferty01,TE,2020,,,,,9.0,8
2013,1,22,Atlanta Falcons,Desmond Trufant,/players/desmond-trufant-trufade01,DB,2013,,,,,9.0,1
2013,1,22,Atlanta Falcons,Desmond Trufant,/players/desmond-trufant-trufade01,DB,2014,,,,,9.0,2
2013,1,22,Atlanta Falcons,Desmond Trufant,/players/desmond-trufant-trufade01,DB,2015,,,,,9.0,3
2013,1,22,Atlanta Falcons,Desmond Trufant,/players/desmond-trufant-trufade01,DB,2016,,,,,9.0,4
2013,1,22,Atlanta Falcons,Desmond Trufant,/players/desmond-trufant-trufade01,DB,2017,,,,,9.0,5
2013,1,22,Atlanta Falcons,Desmond Trufant,/players/desmond-trufant-trufade01,DB,2018,,,,,9.0,6
2013,1,22,Atlanta Falcons,Desmond Trufant,/players/desmond-trufant-trufade01,DB,2019,,,,,9.0,7
2013,1,22,Atlanta Falcons,Desmond Trufant,/players/desmond-trufant-trufade01,DB,2020,,,,,9.0,8
2013,1,22,Atlanta Falcons,Desmond Trufant,/players/desmond-trufant-trufade01,DB,2021,,,,,9.0,9
2013,1,23,Minnesota Vikings,Sharrif Floyd,/players/sharrif-floyd-floydsh01,DT,2013,,,,,9.0,1
2013,1,23,Minnesota Vikings,Sharrif Floyd,/players/sharrif-floyd-floydsh01,DT,2014,,,,,9.0,2
2013,1,23,Minnesota Vikings,Sharrif Floyd,/players/sharrif-floyd-floydsh01,DT,2015,,,,,9.0,3
2013,1,23,Minnesota Vikings,Sharrif Floyd,/players/sharrif-floyd-floydsh01,DT,2016,,,,,9.0,4
2013,1,24,Indianapolis Colts,Bjoern Werner,/players/bjoern-werner-wernebj01,DE,2013,,,,,9.0,1
2013,1,24,Indianapolis Colts,Bjoern Werner,/players/bjoern-werner-wernebj01,DE,2014,,,,,9.0,2
2013,1,24,Indianapolis Colts,Bjoern Werner,/players/bjoern-werner-wernebj01,DE,2015,,,,,9.0,3
2013,1,24,Indianapolis Colts,Bjoern Werner,/players/bjoern-werner-wernebj01,DE,2016,,,,,9.0,4
2013,1,25,Minnesota Vikings,Xavier Rhodes,/players/xavier-rhodes-rhodexa01,DB,2013,,,,,9.0,1
2013,1,25,Minnesota Vikings,Xavier Rhodes,/players/xavier-rhodes-rhodexa01,DB,2014,,,,,9.0,2
2013,1,25,Minnesota Vikings,Xavier Rhodes,/players/xavier-rhodes-rhodexa01,DB,2015,,,,,9.0,3
2013,1,25,Minnesota Vikings,Xavier Rhodes,/players/xavier-rhodes-rhodexa01,DB,2016,,,,,9.0,4
2013,1,25,Minnesota Vikings,Xavier Rhodes,/players/xavier-rhodes-rhodexa01,DB,2017,,,,,9.0,5
2013,1,25,Minnesota Vikings,Xavier Rhodes,/players/xavier-rhodes-rhodexa01,DB,2018,,,,,9.0,6
2013,1,25,Minnesota Vikings,Xavier Rhodes,/players/xavier-rhodes-rhodexa01,DB,2019,,,,,9.0,7
2013,1,25,Minnesota Vikings,Xavier Rhodes,/players/xavier-rhodes-rhodexa01,DB,2020,,,,,9.0,8
2013,1,25,Minnesota Vikings,Xavier Rhodes,/players/xavier-rhodes-rhodexa01,DB,2021,,,,,9.0,9
2013,1,25,Minnesota Vikings,Xavier Rhodes,/players/xavier-rhodes-rhodexa01,DB,2022,,,,,9.0,10
2013,1,26,Green Bay Packers,Datone Jones,/players/datone-jones-jonesda17,DE,2013,,,,,9.0,1
2013,1,26,Green Bay Packers,Datone Jones,/players/datone-jones-jonesda17,DE,2014,,,,,9.0,2
2013,1,26,Green Bay Packers,Datone Jones,/players/datone-jones-jonesda17,DE,2015,,,,,9.0,3
2013,1,26,Green Bay Packers,Datone Jones,/players/datone-jones-jonesda17,DE,2016,,,,,9.0,4
2013,1,26,Green Bay Packers,Datone Jones,/players/datone-jones-jonesda17,DE,2017,,,,,9.0,5
