player,1,2,3,4,5,6,7,8,9
Ben Koyack,Healthy,Healthy,Healthy,Undisclosed,Healthy,Healthy,Healthy,,
Ben Mason,Healthy,,,,,,,,
Ben Powers,Healthy,Healthy,Healthy,,,,,,
Benardrick McKinney,Healthy,Healthy,Healthy,Healthy,Healthy,Shoulder,Healthy,,
Bene Benwikere,Healthy,Leg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Benjamin Snell,Healthy,Healthy,Healthy,,,,,,
Benjamin St-Juste,Concussion,,,,,,,,
Bennett Jackson,Healthy,Knee,Healthy,Healthy,Undisclosed,Healthy,Hamstring,Healthy,
Bennett Skowronek,Healthy,,,,,,,,
Bennie Logan,,Healthy,Calf,,Healthy,Healthy,Healthy,Healthy,
Bilal Nichols,Healthy,Healthy,Healthy,Healthy,,,,,
Billy Price,Healthy,Healthy,Healthy,Healthy,,,,,
Billy Turner,Healthy,Healthy,Healthy,Hand,Healthy,Healthy,Healthy,Healthy,
Bishop Sankey,Healthy,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,
Bjoern Werner,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Blair Brown,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Blake Bell,Healthy,Shoulder,Shoulder,Healthy,Healthy,Healthy,Healthy,,
Blake Bortles,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Blake Brandel,Healthy,Healthy,,,,,,,
Blake Cashman,Shoulder,Groin,Hamstring,,,,,,
Blake Countess,Healthy,Healthy,Healthy,Healthy,Healthy,Undisclosed,,,
Blake Ferguson,Healthy,Healthy,,,,,,,
Blake Martinez,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,,,
Blessuan Austin,Healthy,Neck,Healthy,,,,,,
Blidi Wreh-Wilson,,Shoulder,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Bo Scarbrough,Healthy,Healthy,Undisclosed,Healthy,,,,,
Bobby Brown,Healthy,,,,,,,,
Bobby Evans,Healthy,Healthy,Healthy,,,,,,
Bobby Hart,Healthy,Healthy,Undisclosed,,Healthy,Healthy,Healthy,,
Bobby McCain,Healthy,Healthy,Healthy,Healthy,Shoulder,Healthy,Healthy,,
Bobby Okereke,Healthy,Healthy,Healthy,,,,,,
Boston Scott,Healthy,Healthy,Healthy,Healthy,,,,,
Brad Kaaya,Healthy,Back,Healthy,Healthy,Healthy,,,,
Brad Seaton,Healthy,Healthy,Healthy,Healthy,Undisclosed,,,,
Brad Sorensen,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
