index,year,round,pick,team_x,player,page,position,season,transdate,team_y,transaction,trans_year,trans_month,end_year,tran_month,season_num
1447,2018,6,176,Los Angeles Rams,John Kelly,/players/john-kelly-kellyjo04,RB,2018,,,,,,,9.0,1
1447,2018,6,176,Los Angeles Rams,John Kelly,/players/john-kelly-kellyjo04,RB,2019,,,,,,,9.0,2
1447,2018,6,176,Los Angeles Rams,John Kelly,/players/john-kelly-kellyjo04,RB,2020,,,,,,,9.0,3
1447,2018,6,176,Los Angeles Rams,John Kelly,/players/john-kelly-kellyjo04,RB,2021,,,,,,,9.0,4
1456,2018,6,185,Indianapolis Colts,Deon Cain,/players/deon-cain-cainde01,WR,2018,2018-08-12,Indianapolis (NFL),Placed on Injured Reserve (Knee),2018.0,8.0,,8.0,1
1456,2018,6,185,Indianapolis Colts,Deon Cain,/players/deon-cain-cainde01,WR,2019,,,,,,,9.0,2
1456,2018,6,185,Indianapolis Colts,Deon Cain,/players/deon-cain-cainde01,WR,2020,,,,,,,9.0,3
1456,2018,6,185,Indianapolis Colts,Deon Cain,/players/deon-cain-cainde01,WR,2021,2021-09-01,Baltimore (NFL),Placed on Injured Reserve (Head),2021.0,9.0,,9.0,4
1458,2018,6,187,Buffalo Bills,Ray Ray McCloud,/players/ray-ray-mccloud-mcclora01,WR,2018,,,,,,,9.0,1
1458,2018,6,187,Buffalo Bills,Ray Ray McCloud,/players/ray-ray-mccloud-mcclora01,WR,2019,,,,,,,9.0,2
1458,2018,6,187,Buffalo Bills,Ray Ray McCloud,/players/ray-ray-mccloud-mcclora01,WR,2020,,,,,,,9.0,3
1458,2018,6,187,Buffalo Bills,Ray Ray McCloud,/players/ray-ray-mccloud-mcclora01,WR,2021,,,,,,,9.0,4
1462,2018,6,191,Los Angeles Chargers,Dylan Cantrell,/players/dylan-cantrell-cantrdy01,WR,2018,,,,,,,9.0,1
1462,2018,6,191,Los Angeles Chargers,Dylan Cantrell,/players/dylan-cantrell-cantrdy01,WR,2019,2019-07-29,LA Chargers (NFL),Placed on Injured Reserve (Shoulder),2019.0,7.0,,7.0,2
1462,2018,6,191,Los Angeles Chargers,Dylan Cantrell,/players/dylan-cantrell-cantrdy01,WR,2020,,,,,,,9.0,3
1462,2018,6,191,Los Angeles Chargers,Dylan Cantrell,/players/dylan-cantrell-cantrdy01,WR,2021,2021-06-04,Washington (NFL),Placed on Injured Reserve (Undisclosed),2021.0,6.0,,6.0,4
1465,2018,6,194,Atlanta Falcons,Russell Gage,/players/russell-gage-gageru01,WR,2018,,,,,,,9.0,1
1465,2018,6,194,Atlanta Falcons,Russell Gage,/players/russell-gage-gageru01,WR,2019,,,,,,,9.0,2
1465,2018,6,194,Atlanta Falcons,Russell Gage,/players/russell-gage-gageru01,WR,2020,,,,,,,9.0,3
1465,2018,6,194,Atlanta Falcons,Russell Gage,/players/russell-gage-gageru01,WR,2021,,,,,,,9.0,4
1470,2018,6,199,Tennessee Titans,Luke Falk,/players/luke-falk-falklu01,QB,2018,2018-10-06,Miami (NFL),Placed on Injured Reserve (Wrist),2018.0,10.0,2021.0,10.0,1
1470,2018,6,199,Tennessee Titans,Luke Falk,/players/luke-falk-falklu01,QB,2019,,,,,,2021.0,9.0,2
1470,2018,6,199,Tennessee Titans,Luke Falk,/players/luke-falk-falklu01,QB,2020,,,,,,2021.0,9.0,3
1470,2018,6,199,Tennessee Titans,Luke Falk,/players/luke-falk-falklu01,QB,2021,,,,,,2021.0,9.0,4
1472,2018,6,201,New Orleans Saints,Boston Scott,/players/boston-scott-scottbo04,RB,2018,,,,,,,9.0,1
1472,2018,6,201,New Orleans Saints,Boston Scott,/players/boston-scott-scottbo04,RB,2019,,,,,,,9.0,2
1472,2018,6,201,New Orleans Saints,Boston Scott,/players/boston-scott-scottbo04,RB,2020,,,,,,,9.0,3
1472,2018,6,201,New Orleans Saints,Boston Scott,/players/boston-scott-scottbo04,RB,2021,,,,,,,9.0,4
1474,2018,6,203,Jacksonville Jaguars,Tanner Lee,/players/tanner-lee-leeta01,QB,2018,,,,,,2019.0,9.0,1
1474,2018,6,203,Jacksonville Jaguars,Tanner Lee,/players/tanner-lee-leeta01,QB,2019,,,,,,2019.0,9.0,2
1475,2018,6,204,New York Jets,Trenton Cannon,/players/trenton-cannon-cannotr01,RB,2018,,,,,,,9.0,1
1475,2018,6,204,New York Jets,Trenton Cannon,/players/trenton-cannon-cannotr01,RB,2019,2019-11-01,NY Jets (NFL),Placed on Injured Reserve (Foot),2019.0,11.0,,11.0,2
1475,2018,6,204,New York Jets,Trenton Cannon,/players/trenton-cannon-cannotr01,RB,2020,,,,,,,9.0,3
1475,2018,6,204,New York Jets,Trenton Cannon,/players/trenton-cannon-cannotr01,RB,2021,2021-12-11,San Francisco (NFL),Placed on Injured Reserve (Concussion),2021.0,12.0,,12.0,4
1478,2018,6,207,Green Bay Packers,Equanimeous St. Brown,/players/equanimeous-st-brown-stbroeq01,WR,2018,,,,,,,9.0,1
1478,2018,6,207,Green Bay Packers,Equanimeous St. Brown,/players/equanimeous-st-brown-stbroeq01,WR,2019,2019-08-31,Green Bay (NFL),Placed on Injured Reserve (Ankle),2019.0,8.0,,8.0,2
1478,2018,6,207,Green Bay Packers,Equanimeous St. Brown,/players/equanimeous-st-brown-stbroeq01,WR,2020,2020-09-19,Green Bay (NFL),Placed on Injured Reserve (Knee),2020.0,9.0,,9.0,3
