index,year,round,pick,team_x,player,page,position,season,transdate,team_y,transaction,trans_year,trans_month,tran_month,season_num
10,2013,1,11,San Diego Chargers,D.J. Fluker,/players/dj-fluker-flukedj01,OG,2021,2021-07-29,Miami (NFL),Placed on Injured Reserve (Knee),2021.0,7.0,7.0,9
11,2013,1,12,Oakland Raiders,D.J. Hayden,/players/dj-hayden-haydedj01,DB,2014,2014-08-26,Oakland (NFL),Placed on the Physically Unable to Perform List (Foot),2014.0,8.0,8.0,2
11,2013,1,12,Oakland Raiders,D.J. Hayden,/players/dj-hayden-haydedj01,DB,2015,,,,,,9.0,3
11,2013,1,12,Oakland Raiders,D.J. Hayden,/players/dj-hayden-haydedj01,DB,2016,2016-12-03,Oakland (NFL),Placed on Injured Reserve (Hamstring),2016.0,12.0,12.0,4
11,2013,1,12,Oakland Raiders,D.J. Hayden,/players/dj-hayden-haydedj01,DB,2017,,,,,,9.0,5
11,2013,1,12,Oakland Raiders,D.J. Hayden,/players/dj-hayden-haydedj01,DB,2018,,,,,,9.0,6
11,2013,1,12,Oakland Raiders,D.J. Hayden,/players/dj-hayden-haydedj01,DB,2019,,,,,,9.0,7
11,2013,1,12,Oakland Raiders,D.J. Hayden,/players/dj-hayden-haydedj01,DB,2020,2020-10-07,Jacksonville (NFL),Placed on Injured Reserve (Hamstring),2020.0,10.0,10.0,8
11,2013,1,12,Oakland Raiders,D.J. Hayden,/players/dj-hayden-haydedj01,DB,2020,2020-11-24,Jacksonville (NFL),Placed on Injured Reserve (Knee),2020.0,11.0,11.0,8
11,2013,1,12,Oakland Raiders,D.J. Hayden,/players/dj-hayden-haydedj01,DB,2021,,,,,,9.0,9
12,2013,1,13,New York Jets,Sheldon Richardson,/players/sheldon-richardson-richash02,DT,2014,,,,,,9.0,2
12,2013,1,13,New York Jets,Sheldon Richardson,/players/sheldon-richardson-richash02,DT,2015,,,,,,9.0,3
12,2013,1,13,New York Jets,Sheldon Richardson,/players/sheldon-richardson-richash02,DT,2016,,,,,,9.0,4
12,2013,1,13,New York Jets,Sheldon Richardson,/players/sheldon-richardson-richash02,DT,2017,,,,,,9.0,5
12,2013,1,13,New York Jets,Sheldon Richardson,/players/sheldon-richardson-richash02,DT,2018,,,,,,9.0,6
12,2013,1,13,New York Jets,Sheldon Richardson,/players/sheldon-richardson-richash02,DT,2019,,,,,,9.0,7
12,2013,1,13,New York Jets,Sheldon Richardson,/players/sheldon-richardson-richash02,DT,2020,,,,,,9.0,8
12,2013,1,13,New York Jets,Sheldon Richardson,/players/sheldon-richardson-richash02,DT,2021,,,,,,9.0,9
13,2013,1,14,Carolina Panthers,Star Lotulelei,/players/star-lotulelei-lotulst01,DT,2014,,,,,,9.0,2
13,2013,1,14,Carolina Panthers,Star Lotulelei,/players/star-lotulelei-lotulst01,DT,2015,,,,,,9.0,3
13,2013,1,14,Carolina Panthers,Star Lotulelei,/players/star-lotulelei-lotulst01,DT,2016,,,,,,9.0,4
13,2013,1,14,Carolina Panthers,Star Lotulelei,/players/star-lotulelei-lotulst01,DT,2017,,,,,,9.0,5
13,2013,1,14,Carolina Panthers,Star Lotulelei,/players/star-lotulelei-lotulst01,DT,2018,,,,,,9.0,6
13,2013,1,14,Carolina Panthers,Star Lotulelei,/players/star-lotulelei-lotulst01,DT,2019,,,,,,9.0,7
13,2013,1,14,Carolina Panthers,Star Lotulelei,/players/star-lotulelei-lotulst01,DT,2020,,,,,,9.0,8
13,2013,1,14,Carolina Panthers,Star Lotulelei,/players/star-lotulelei-lotulst01,DT,2021,,,,,,9.0,9
14,2013,1,15,New Orleans Saints,Kenny Vaccaro,/players/kenny-vaccaro-vaccake01,DB,2014,,,,,,9.0,2
14,2013,1,15,New Orleans Saints,Kenny Vaccaro,/players/kenny-vaccaro-vaccake01,DB,2015,,,,,,9.0,3
14,2013,1,15,New Orleans Saints,Kenny Vaccaro,/players/kenny-vaccaro-vaccake01,DB,2016,,,,,,9.0,4
14,2013,1,15,New Orleans Saints,Kenny Vaccaro,/players/kenny-vaccaro-vaccake01,DB,2017,2017-12-21,New Orleans (NFL),Placed on Injured Reserve (Groin),2017.0,12.0,12.0,5
14,2013,1,15,New Orleans Saints,Kenny Vaccaro,/players/kenny-vaccaro-vaccake01,DB,2018,,,,,,9.0,6
14,2013,1,15,New Orleans Saints,Kenny Vaccaro,/players/kenny-vaccaro-vaccake01,DB,2019,,,,,,9.0,7
14,2013,1,15,New Orleans Saints,Kenny Vaccaro,/players/kenny-vaccaro-vaccake01,DB,2020,,,,,,9.0,8
14,2013,1,15,New Orleans Saints,Kenny Vaccaro,/players/kenny-vaccaro-vaccake01,DB,2021,,,,,,9.0,9
15,2013,1,16,Buffalo Bills,E.J. Manuel,/players/ej-manuel-manueej01,QB,2014,,,,,,9.0,2
15,2013,1,16,Buffalo Bills,E.J. Manuel,/players/ej-manuel-manueej01,QB,2015,,,,,,9.0,3
15,2013,1,16,Buffalo Bills,E.J. Manuel,/players/ej-manuel-manueej01,QB,2016,,,,,,9.0,4
15,2013,1,16,Buffalo Bills,E.J. Manuel,/players/ej-manuel-manueej01,QB,2017,,,,,,9.0,5
15,2013,1,16,Buffalo Bills,E.J. Manuel,/players/ej-manuel-manueej01,QB,2018,,,,,,9.0,6
15,2013,1,16,Buffalo Bills,E.J. Manuel,/players/ej-manuel-manueej01,QB,2019,,,,,,9.0,7
15,2013,1,16,Buffalo Bills,E.J. Manuel,/players/ej-manuel-manueej01,QB,2020,,,,,,9.0,8
15,2013,1,16,Buffalo Bills,E.J. Manuel,/players/ej-manuel-manueej01,QB,2021,,,,,,9.0,9
16,2013,1,17,Pittsburgh Steelers,Jarvis Jones,/players/jarvis-jones-jonesja11,LB,2014,2014-09-22,Pittsburgh (NFL),Placed on Injured Reserve (Designated for Return) (Wrist),2014.0,9.0,9.0,2
16,2013,1,17,Pittsburgh Steelers,Jarvis Jones,/players/jarvis-jones-jonesja11,LB,2015,,,,,,9.0,3
16,2013,1,17,Pittsburgh Steelers,Jarvis Jones,/players/jarvis-jones-jonesja11,LB,2016,,,,,,9.0,4
16,2013,1,17,Pittsburgh Steelers,Jarvis Jones,/players/jarvis-jones-jonesja11,LB,2017,,,,,,9.0,5
16,2013,1,17,Pittsburgh Steelers,Jarvis Jones,/players/jarvis-jones-jonesja11,LB,2018,,,,,,9.0,6
16,2013,1,17,Pittsburgh Steelers,Jarvis Jones,/players/jarvis-jones-jonesja11,LB,2019,,,,,,9.0,7
16,2013,1,17,Pittsburgh Steelers,Jarvis Jones,/players/jarvis-jones-jonesja11,LB,2020,,,,,,9.0,8
16,2013,1,17,Pittsburgh Steelers,Jarvis Jones,/players/jarvis-jones-jonesja11,LB,2021,,,,,,9.0,9
17,2013,1,18,San Francisco 49ers,Eric Reid,/players/eric-reid-reider01,DB,2014,,,,,,9.0,2
17,2013,1,18,San Francisco 49ers,Eric Reid,/players/eric-reid-reider01,DB,2015,,,,,,9.0,3
17,2013,1,18,San Francisco 49ers,Eric Reid,/players/eric-reid-reider01,DB,2016,2016-11-23,San Francisco (NFL),Placed on Injured Reserve (Biceps),2016.0,11.0,11.0,4
17,2013,1,18,San Francisco 49ers,Eric Reid,/players/eric-reid-reider01,DB,2017,,,,,,9.0,5
17,2013,1,18,San Francisco 49ers,Eric Reid,/players/eric-reid-reider01,DB,2018,,,,,,9.0,6
17,2013,1,18,San Francisco 49ers,Eric Reid,/players/eric-reid-reider01,DB,2019,,,,,,9.0,7
17,2013,1,18,San Francisco 49ers,Eric Reid,/players/eric-reid-reider01,DB,2020,,,,,,9.0,8
17,2013,1,18,San Francisco 49ers,Eric Reid,/players/eric-reid-reider01,DB,2021,,,,,,9.0,9
18,2013,1,19,New York Giants,Justin Pugh,/players/justin-pugh-pughju01,OG,2014,,,,,,9.0,2
18,2013,1,19,New York Giants,Justin Pugh,/players/justin-pugh-pughju01,OG,2015,,,,,,9.0,3
18,2013,1,19,New York Giants,Justin Pugh,/players/justin-pugh-pughju01,OG,2016,,,,,,9.0,4
18,2013,1,19,New York Giants,Justin Pugh,/players/justin-pugh-pughju01,OG,2017,2017-12-14,NY Giants (NFL),Placed on Injured Reserve (Back),2017.0,12.0,12.0,5
18,2013,1,19,New York Giants,Justin Pugh,/players/justin-pugh-pughju01,OG,2018,2018-11-13,Arizona (NFL),Placed on Injured Reserve (Knee),2018.0,11.0,11.0,6
18,2013,1,19,New York Giants,Justin Pugh,/players/justin-pugh-pughju01,OG,2019,,,,,,9.0,7
18,2013,1,19,New York Giants,Justin Pugh,/players/justin-pugh-pughju01,OG,2020,,,,,,9.0,8
18,2013,1,19,New York Giants,Justin Pugh,/players/justin-pugh-pughju01,OG,2021,,,,,,9.0,9
19,2013,1,20,Chicago Bears,Kyle Long,/players/kyle-long-longky01,OG,2014,,,,,,9.0,2
19,2013,1,20,Chicago Bears,Kyle Long,/players/kyle-long-longky01,OG,2015,,,,,,9.0,3
19,2013,1,20,Chicago Bears,Kyle Long,/players/kyle-long-longky01,OG,2016,2016-11-15,Chicago (NFL),Placed on Injured Reserve (Ankle),2016.0,11.0,11.0,4
19,2013,1,20,Chicago Bears,Kyle Long,/players/kyle-long-longky01,OG,2017,2017-12-05,Chicago (NFL),Placed on Injured Reserve (Shoulder),2017.0,12.0,12.0,5
19,2013,1,20,Chicago Bears,Kyle Long,/players/kyle-long-longky01,OG,2018,2018-11-03,Chicago (NFL),Placed on Injured Reserve (Foot),2018.0,11.0,11.0,6
19,2013,1,20,Chicago Bears,Kyle Long,/players/kyle-long-longky01,OG,2019,2019-10-14,Chicago (NFL),Placed on Injured Reserve (Hip),2019.0,10.0,10.0,7
19,2013,1,20,Chicago Bears,Kyle Long,/players/kyle-long-longky01,OG,2020,,,,,,9.0,8
19,2013,1,20,Chicago Bears,Kyle Long,/players/kyle-long-longky01,OG,2021,2021-08-31,Kansas City (NFL),Placed on the Physically Unable to Perform List (Knee),2021.0,8.0,8.0,9
20,2013,1,21,Cincinnati Bengals,Tyler Eifert,/players/tyler-eifert-eiferty01,TE,2014,2014-09-10,Cincinnati (NFL),Placed on Injured Reserve (Designated for Return) (Elbow),2014.0,9.0,9.0,2
20,2013,1,21,Cincinnati Bengals,Tyler Eifert,/players/tyler-eifert-eiferty01,TE,2015,,,,,,9.0,3
20,2013,1,21,Cincinnati Bengals,Tyler Eifert,/players/tyler-eifert-eiferty01,TE,2016,2016-12-26,Cincinnati (NFL),Placed on Injured Reserve (Back),2016.0,12.0,12.0,4
20,2013,1,21,Cincinnati Bengals,Tyler Eifert,/players/tyler-eifert-eiferty01,TE,2017,2017-10-12,Cincinnati (NFL),Placed on Injured Reserve (Back),2017.0,10.0,10.0,5
20,2013,1,21,Cincinnati Bengals,Tyler Eifert,/players/tyler-eifert-eiferty01,TE,2018,2018-10-05,Cincinnati (NFL),Placed on Injured Reserve (Ankle),2018.0,10.0,10.0,6
20,2013,1,21,Cincinnati Bengals,Tyler Eifert,/players/tyler-eifert-eiferty01,TE,2019,,,,,,9.0,7
